,Date,Win Number,Win Type
748,2023-12-21,40,win
749,2023-12-18,44,additional
750,2023-12-18,12,win
751,2023-12-18,15,win
752,2023-12-18,16,win
753,2023-12-18,23,win
754,2023-12-18,24,win
755,2023-12-18,38,win
756,2023-12-14,5,additional
757,2023-12-14,22,win
758,2023-12-14,32,win
759,2023-12-14,34,win
760,2023-12-14,39,win
761,2023-12-14,40,win
762,2023-12-14,42,win
763,2023-12-11,31,additional
764,2023-12-11,9,win
765,2023-12-11,12,win
766,2023-12-11,21,win
767,2023-12-11,22,win
768,2023-12-11,44,win
769,2023-12-11,47,win
770,2023-12-07,48,additional
771,2023-12-07,10,win
772,2023-12-07,16,win
773,2023-12-07,25,win
774,2023-12-07,29,win
775,2023-12-07,42,win
776,2023-12-07,44,win
777,2023-12-04,22,additional
778,2023-12-04,6,win
779,2023-12-04,18,win
780,2023-12-04,26,win
781,2023-12-04,31,win
782,2023-12-04,37,win
783,2023-12-04,38,win
784,2023-11-30,17,additional
785,2023-11-30,3,win
786,2023-11-30,32,win
787,2023-11-30,34,win
788,2023-11-30,38,win
789,2023-11-30,41,win
790,2023-11-30,42,win
791,2023-11-27,23,additional
792,2023-11-27,16,win
793,2023-11-27,19,win
794,2023-11-27,20,win
795,2023-11-27,26,win
796,2023-11-27,33,win
797,2023-11-27,40,win
798,2023-11-23,35,additional
799,2023-11-23,2,win
800,2023-11-23,24,win
801,2023-11-23,30,win
802,2023-11-23,37,win
803,2023-11-23,43,win
804,2023-11-23,45,win
805,2023-11-20,47,additional
806,2023-11-20,12,win
807,2023-11-20,13,win
808,2023-11-20,18,win
809,2023-11-20,22,win
810,2023-11-20,25,win
811,2023-11-20,28,win
812,2023-11-16,22,additional
813,2023-11-16,10,win
814,2023-11-16,13,win
815,2023-11-16,15,win
816,2023-11-16,28,win
817,2023-11-16,29,win
818,2023-11-16,37,win
819,2023-11-13,31,additional
820,2023-11-13,6,win
821,2023-11-13,10,win
822,2023-11-13,16,win
823,2023-11-13,24,win
824,2023-11-13,27,win
825,2023-11-13,43,win
826,2023-11-09,45,additional
827,2023-11-09,2,win
828,2023-11-09,3,win
829,2023-11-09,11,win
830,2023-11-09,17,win
831,2023-11-09,35,win
832,2023-11-09,40,win
833,2023-11-06,4,additional
834,2023-11-06,11,win
835,2023-11-06,20,win
836,2023-11-06,22,win
837,2023-11-06,28,win
838,2023-11-06,32,win
839,2023-11-06,37,win
840,2023-11-02,49,additional
841,2023-11-02,3,win
842,2023-11-02,12,win
843,2023-11-02,22,win
844,2023-11-02,29,win
845,2023-11-02,35,win
846,2023-11-02,42,win
