Date,Location,Ticket Type,Group
2024-09-16,Singapore Pools Woodlands N8 Branch - Block 883 Woodlands Street 82 #02-468,1 System 7 Entry,2
2024-09-16,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-09-16,Singapore Pools IMM Branch - 2 Jurong East Street 21 #02-63 IMM Building,1 Ordinary Entry,2
2024-09-12,Rangoon Provision Shop - Block 681 Race Course Road #01-309,1 QuickPick System 7 Entry,2
2024-09-12,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-09-12,Soh Choo Trading - Block 19 Marsiling Lane #01-303,1 Ordinary Entry,2
2024-09-12,iTOTO - System 1,iTOTO - System 12,2
2024-09-09,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
2024-09-09,Cheng Chew Wah Agency - Bedok South Road - Block 17 Bedok South Road #01-583,1 QuickPick Ordinary Entry,2
2024-09-09,Singapore Pools Clementi N7 Branch - Block 722 Clementi West Street 2 #01-164,1 QuickPick Ordinary Entry,2
2024-09-09,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 QuickPick Ordinary Entry,2
2024-09-09,Singapore Pools Account Betting Service - -,1 System 12 Entry,2
2024-09-09,Singapore Pools Hougang N2 Branch - Block 211 Hougang Street 21 #01-309,2 System 7 Entry,2
2024-09-09,Cheers Haig Road - Block 12 Haig Road #01-333/335,1 System 7 Entry,2
2024-09-09,NTUC FairPrice Bedok North Street 4 - Block 89 Bedok North Street 4 #01-77/79,1 System 7 Entry,2
2024-09-09,Overseas Emporium (Private) Limited - 1 Park Road #02-70 People's Park Complex,1 System 7 Entry,2
2024-09-09,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 System 7 Entry,2
2024-09-09,Cheers Hougang Central - Block 810 Hougang Central #01-214,1 Ordinary Entry,2
2024-09-09,Giant Buangkok Crescent - Block 982 Buangkok Crescent #01-01,1 Ordinary Entry,2
2024-09-09,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-09-09,iTOTO - System 1,iTOTO - System 12,2
2024-09-05,NTUC FairPrice Bukit Batok MRT Station - 10 Bukit Batok Central #01-08 Bukit Batok MRT,1 QuickPick System 7 Entry,2
2024-09-05,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-09-05,NTUC FairPrice Sun Plaza - 30 Sembawang Drive #B1-01/02 Sun Plaza,1 QuickPick Ordinary Entry,2
2024-09-05,Sheng Siong Sengkang West Ave - Block 455 Sengkang West Avenue #01-16,1 QuickPick Ordinary Entry,2
2024-09-02,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-09-02,Singapore Pools Lucky Plaza Branch - 304 Orchard Road #B1-91/92 Lucky Plaza,1 QuickPick Ordinary Entry,2
